38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:52:05.0 (49224)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi|日本標準時|GMT+09:00
18:52:05.0 (80540)|EXECUTION_STARTED
18:52:05.0 (84026)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqU|VF: /apex/kdKnowledgeListPage
18:52:05.0 (24686949)|SYSTEM_MODE_ENTER|true
18:52:05.0 (24967720)|VARIABLE_SCOPE_BEGIN|[7]|auMainTopCompCtrl.TYPE_SCREEN_CX_SCREEN|Integer|false|true
18:52:05.0 (24979858)|VARIABLE_SCOPE_BEGIN|[8]|auMainTopCompCtrl.TYPE_SCREEN_CX_TIMELINE|Integer|false|true
18:52:05.0 (24987132)|VARIABLE_SCOPE_BEGIN|[9]|auMainTopCompCtrl.TYPE_SCREEN_EVENT_SCHEDULE|Integer|false|true
18:52:05.0 (24993833)|VARIABLE_SCOPE_BEGIN|[10]|auMainTopCompCtrl.TYPE_SCREEN_EVENT_SCHEDULE_LIST|Integer|false|true
18:52:05.0 (25000695)|VARIABLE_SCOPE_BEGIN|[23]|auMainTopCompCtrl.TYPE_SCREEN_HONBU_DIRECT|Integer|false|true
18:52:05.0 (25008842)|VARIABLE_SCOPE_BEGIN|[11]|auMainTopCompCtrl.TYPE_SCREEN_KNOWLEDGE_DASHBOARD|Integer|false|true
18:52:05.0 (25015361)|VARIABLE_SCOPE_BEGIN|[12]|auMainTopCompCtrl.TYPE_SCREEN_KNOWLEDGE_LIST|Integer|false|true
18:52:05.0 (25022420)|VARIABLE_SCOPE_BEGIN|[15]|auMainTopCompCtrl.TYPE_SCREEN_SA_CHATTER|Integer|false|true
18:52:05.0 (25029084)|VARIABLE_SCOPE_BEGIN|[16]|auMainTopCompCtrl.TYPE_SCREEN_SA_DAILYREPORT|Integer|false|true
18:52:05.0 (25035799)|VARIABLE_SCOPE_BEGIN|[22]|auMainTopCompCtrl.TYPE_SCREEN_SA_DAILYREPORTLIST|Integer|false|true
18:52:05.0 (25042694)|VARIABLE_SCOPE_BEGIN|[18]|auMainTopCompCtrl.TYPE_SCREEN_SA_DOCUMENTS|Integer|false|true
18:52:05.0 (25048808)|VARIABLE_SCOPE_BEGIN|[17]|auMainTopCompCtrl.TYPE_SCREEN_SA_ENQUETE|Integer|false|true
18:52:05.0 (25054923)|VARIABLE_SCOPE_BEGIN|[20]|auMainTopCompCtrl.TYPE_SCREEN_SA_LINKS|Integer|false|true
18:52:05.0 (25061295)|VARIABLE_SCOPE_BEGIN|[13]|auMainTopCompCtrl.TYPE_SCREEN_SA_MESSAGES|Integer|false|true
18:52:05.0 (25067722)|VARIABLE_SCOPE_BEGIN|[19]|auMainTopCompCtrl.TYPE_SCREEN_SA_RANKING|Integer|false|true
18:52:05.0 (25074041)|VARIABLE_SCOPE_BEGIN|[14]|auMainTopCompCtrl.TYPE_SCREEN_SA_REPORTS|Integer|false|true
18:52:05.0 (25080438)|VARIABLE_SCOPE_BEGIN|[21]|auMainTopCompCtrl.TYPE_SCREEN_SA_USRSETTINGS|Integer|false|true
18:52:05.0 (25087249)|VARIABLE_SCOPE_BEGIN|[4]|auMainTopCompCtrl.TYPE_SCREEN_STPD_EVENT|Integer|false|true
18:52:05.0 (25093966)|VARIABLE_SCOPE_BEGIN|[6]|auMainTopCompCtrl.TYPE_SCREEN_STPD_SCREEN|Integer|false|true
18:52:05.0 (25100788)|VARIABLE_SCOPE_BEGIN|[5]|auMainTopCompCtrl.TYPE_SCREEN_STPD_TIMELINE|Integer|false|true
18:52:05.0 (25107661)|VARIABLE_SCOPE_BEGIN|[3]|auMainTopCompCtrl.TYPE_SCREEN_SWITCH|Integer|false|true
18:52:05.0 (25219528)|HEAP_ALLOCATE|[72]|Bytes:3
18:52:05.0 (25260585)|HEAP_ALLOCATE|[77]|Bytes:152
18:52:05.0 (25281075)|HEAP_ALLOCATE|[342]|Bytes:408
18:52:05.0 (25296975)|HEAP_ALLOCATE|[355]|Bytes:408
18:52:05.0 (25308172)|HEAP_ALLOCATE|[467]|Bytes:48
18:52:05.0 (25334865)|HEAP_ALLOCATE|[139]|Bytes:6
18:52:05.0 (25351051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:284
18:52:05.0 (25359903)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:129
18:52:05.0 (25371336)|METHOD_ENTRY|[1]|01p6F0000084OtI|auMainTopCompCtrl.auMainTopCompCtrl()
18:52:05.0 (25377706)|STATEMENT_EXECUTE|[1]
18:52:05.0 (25382443)|STATEMENT_EXECUTE|[1]
18:52:05.0 (25384025)|STATEMENT_EXECUTE|[3]
18:52:05.0 (25389038)|HEAP_ALLOCATE|[3]|Bytes:4
18:52:05.0 (25432798)|VARIABLE_ASSIGNMENT|[3]|auMainTopCompCtrl.TYPE_SCREEN_SWITCH|0
18:52:05.0 (25437930)|STATEMENT_EXECUTE|[4]
18:52:05.0 (25441781)|HEAP_ALLOCATE|[4]|Bytes:4
18:52:05.0 (25449716)|VARIABLE_ASSIGNMENT|[4]|auMainTopCompCtrl.TYPE_SCREEN_STPD_EVENT|11
18:52:05.0 (25453464)|STATEMENT_EXECUTE|[5]
18:52:05.0 (25455758)|HEAP_ALLOCATE|[5]|Bytes:4
18:52:05.0 (25462563)|VARIABLE_ASSIGNMENT|[5]|auMainTopCompCtrl.TYPE_SCREEN_STPD_TIMELINE|12
18:52:05.0 (25466158)|STATEMENT_EXECUTE|[6]
18:52:05.0 (25468170)|HEAP_ALLOCATE|[6]|Bytes:4
18:52:05.0 (25474117)|VARIABLE_ASSIGNMENT|[6]|auMainTopCompCtrl.TYPE_SCREEN_STPD_SCREEN|13
18:52:05.0 (25477900)|STATEMENT_EXECUTE|[7]
