41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:53:39.0 (57753)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi|日本標準時|GMT+09:00
12:53:39.0 (96933)|EXECUTION_STARTED
12:53:39.0 (100814)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqT|VF: /apex/kdKnowledgeHomePage
12:53:39.0 (17676210)|METHOD_ENTRY|[1]|01p6F0000084OtI|auMainTopCompCtrl.auMainTopCompCtrl()
12:53:39.0 (18009404)|METHOD_EXIT|[1]|auMainTopCompCtrl
12:53:39.0 (19404634)|METHOD_ENTRY|[52]||System.UserInfo.getUserId()
12:53:39.0 (19481062)|METHOD_EXIT|[52]||System.UserInfo.getUserId()
12:53:39.0 (20996807)|SOQL_EXECUTE_BEGIN|[47]|Aggregations:0|SELECT SmallPhotoUrl, Account.Name, Account.RegionalOfficeId__r.RegionalOfficeName__c, Account.BranchId__r.BranchName__c, Name, Department, UserRole.Name FROM User WHERE User.ID = :tmpVar1
12:53:39.0 (28448712)|SOQL_EXECUTE_END|[47]|Rows:1
12:53:39.0 (33401100)|METHOD_ENTRY|[52]||System.UserInfo.getUserId()
12:53:39.0 (33422884)|METHOD_EXIT|[52]||System.UserInfo.getUserId()
12:53:39.0 (33852523)|SOQL_EXECUTE_BEGIN|[47]|Aggregations:0|SELECT SmallPhotoUrl, Account.Name, Account.RegionalOfficeId__r.RegionalOfficeName__c, Account.BranchId__r.BranchName__c, Name, Department, UserRole.Name FROM User WHERE User.ID = :tmpVar1
12:53:39.0 (38264524)|SOQL_EXECUTE_END|[47]|Rows:1
12:53:39.0 (43272866)|METHOD_ENTRY|[1]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.kdKnowledgeHomePageCtrl()
12:53:39.0 (43333981)|METHOD_EXIT|[1]|kdKnowledgeHomePageCtrl
12:53:39.0 (44873329)|SOQL_EXECUTE_BEGIN|[164]|Aggregations:1|SELECT Type__c, SubjectDivision__c, Thema__c, MediumCategory__c, NbCopy__c, NbLike__c, NbView__c, HasMovie__c, Title__c, PostTime__c, (SELECT Id FROM Attachments LIMIT 1) FROM kdKnowledge__c ORDER BY Thema__c ASC NULLS FIRST, LastModifiedDate__c DESC NULLS FIRST
12:53:39.0 (461815319)|SOQL_EXECUTE_END|[164]|Rows:5015
12:53:40.0 (1772495059)|METHOD_ENTRY|[203]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getWebContentData()
12:53:40.0 (1773340270)|SOQL_EXECUTE_BEGIN|[22]|Aggregations:0|SELECT Title__c, NbView1Week__c, Thema__c FROM kdKnowledge__c 
12:53:40.0 (1792052903)|SOQL_EXECUTE_END|[22]|Rows:3
12:53:40.0 (1792647241)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1792697387)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1792706182)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.next()
12:53:40.0 (1792765147)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.next()
12:53:40.0 (1792844791)|CONSTRUCTOR_ENTRY|[23]|01p6F000006sUQf|<init>()
12:53:40.0 (1792933352)|CONSTRUCTOR_EXIT|[23]|01p6F000006sUQf|<init>()
12:53:40.0 (1793397627)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1793417301)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1793422702)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.next()
12:53:40.0 (1793464395)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.next()
12:53:40.0 (1793506027)|CONSTRUCTOR_ENTRY|[23]|01p6F000006sUQf|<init>()
12:53:40.0 (1793550233)|CONSTRUCTOR_EXIT|[23]|01p6F000006sUQf|<init>()
12:53:40.0 (1793831757)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1793849478)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1793854156)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.next()
12:53:40.0 (1793893484)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.next()
12:53:40.0 (1793933331)|CONSTRUCTOR_ENTRY|[23]|01p6F000006sUQf|<init>()
12:53:40.0 (1793974281)|CONSTRUCTOR_EXIT|[23]|01p6F000006sUQf|<init>()
12:53:40.0 (1794237793)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1794250188)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1794555306)|SOQL_EXECUTE_BEGIN|[31]|Aggregations:0|SELECT Title__c, Thema__c FROM kdKnowledge__c 
12:53:40.0 (1810369941)|SOQL_EXECUTE_END|[31]|Rows:3
12:53:40.0 (1810750012)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1810778804)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1810786258)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.next()
12:53:40.0 (1810834720)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.next()
12:53:40.0 (1810883572)|CONSTRUCTOR_ENTRY|[32]|01p6F000006sUQf|<init>()
12:53:40.0 (1810950710)|CONSTRUCTOR_EXIT|[32]|01p6F000006sUQf|<init>()
12:53:40.0 (1811355136)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1811376553)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1811384945)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.next()
12:53:40.0 (1811447480)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.next()
12:53:40.0 (1811492832)|CONSTRUCTOR_ENTRY|[32]|01p6F000006sUQf|<init>()
12:53:40.0 (1811537379)|CONSTRUCTOR_EXIT|[32]|01p6F000006sUQf|<init>()
12:53:40.0 (1811835425)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1811864639)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1811870828)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.next()
12:53:40.0 (1811912146)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.next()
12:53:40.0 (1811952295)|CONSTRUCTOR_ENTRY|[32]|01p6F000006sUQf|<init>()
12:53:40.0 (1811993370)|CONSTRUCTOR_EXIT|[32]|01p6F000006sUQf|<init>()
12:53:40.0 (1812248552)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1812259925)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
12:53:40.0 (1812515736)|SOQL_EXECUTE_BEGIN|[40]|Aggregations:0|SELECT Title__c, Thema__c FROM kdKnowledge__c 
12:53:40.0 (1827276471)|SOQL_EXECUTE_END|[40]|Rows:3
