36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:15:25.0 (86382)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi|日本標準時|GMT+09:00
13:15:25.0 (133147)|EXECUTION_STARTED
13:15:25.0 (138271)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqX|VF: /apex/saDailyReportCSVFileExporting
13:15:25.0 (8752752)|METHOD_ENTRY|[1]|01p6F000006sUQk|saDailyReportCSVFileExportingCtrl.saDailyReportCSVFileExportingCtrl()
13:15:25.0 (8915565)|METHOD_EXIT|[1]|saDailyReportCSVFileExportingCtrl
13:15:25.0 (11923360)|SOQL_EXECUTE_BEGIN|[15]|Aggregations:1|SELECT ReportName__c, (SELECT QuestionLabel__c, AnswerType__c, NumberPossibleReplies__c, Reply01Label__c, Reply02Label__c, Reply03Label__c, Reply04Label__c, Reply05Label__c, Reply06Label__c, Reply07Label__c, Reply08Label__c, Reply09Label__c, Reply10Label__c FROM saInquiryDetail_md__r ORDER BY SortNo__c ASC NULLS FIRST, Name ASC NULLS FIRST) FROM saInquiry__c 
13:15:25.0 (223160023)|SOQL_EXECUTE_END|[15]|Rows:1
13:15:25.0 (224817465)|METHOD_ENTRY|[15]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (224926008)|METHOD_EXIT|[15]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (224939305)|METHOD_ENTRY|[15]||Database.QueryLocatorIterator.next()
13:15:25.0 (225020547)|METHOD_EXIT|[15]||Database.QueryLocatorIterator.next()
13:15:25.0 (225935230)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (225958831)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (225965260)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226007353)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226093339)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226109714)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226114477)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226153582)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226199044)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226214005)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226218534)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226251026)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226290982)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226304743)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226309923)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226342000)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226379672)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226393658)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226398064)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226430193)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226466404)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226480286)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226485114)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226516784)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226553392)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226566926)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226571477)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226603014)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226639853)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226653985)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226658644)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226690842)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226727371)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226740791)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226745475)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226777013)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226820808)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226834708)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226839448)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226871019)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226909522)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226923139)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (226927688)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226959361)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (226996389)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227010005)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227015080)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227051263)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227088637)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227102395)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227106770)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227146501)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227198180)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227216836)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227224022)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227267376)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227319039)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227338594)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227344905)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227387637)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227439900)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227458783)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
13:15:25.0 (227465427)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
13:15:25.0 (227509040)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
