36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:55:14.0 (66795)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi|日本標準時|GMT+09:00
12:55:14.0 (113801)|EXECUTION_STARTED
12:55:14.0 (119015)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqX|VF: /apex/saDailyReportCSVFileExporting
12:55:14.0 (6802806)|SYSTEM_MODE_ENTER|true
12:55:14.0 (7160510)|HEAP_ALLOCATE|[72]|Bytes:3
12:55:14.0 (7225942)|HEAP_ALLOCATE|[77]|Bytes:152
12:55:14.0 (7240131)|HEAP_ALLOCATE|[342]|Bytes:408
12:55:14.0 (7254241)|HEAP_ALLOCATE|[355]|Bytes:408
12:55:14.0 (7266731)|HEAP_ALLOCATE|[467]|Bytes:48
12:55:14.0 (7293620)|HEAP_ALLOCATE|[139]|Bytes:6
12:55:14.0 (7308488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:152
12:55:14.0 (7329178)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
12:55:14.0 (7333227)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:55:14.0 (7347957)|METHOD_ENTRY|[1]|01p6F000006sUQk|saDailyReportCSVFileExportingCtrl.saDailyReportCSVFileExportingCtrl()
12:55:14.0 (7355667)|STATEMENT_EXECUTE|[1]
12:55:14.0 (7360343)|STATEMENT_EXECUTE|[1]
12:55:14.0 (7388286)|HEAP_ALLOCATE|[50]|Bytes:5
12:55:14.0 (7417240)|HEAP_ALLOCATE|[56]|Bytes:5
12:55:14.0 (7425191)|HEAP_ALLOCATE|[64]|Bytes:7
12:55:14.0 (7448555)|SYSTEM_MODE_ENTER|false
12:55:14.0 (7460065)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
12:55:14.0 (7467914)|SYSTEM_MODE_EXIT|false
12:55:14.0 (7478082)|METHOD_EXIT|[1]|saDailyReportCSVFileExportingCtrl
12:55:14.0 (7591687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
12:55:14.0 (7603832)|VARIABLE_SCOPE_BEGIN|[10]|this|saDailyReportCSVFileExportingCtrl|true|false
12:55:14.0 (7672683)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x45115969
12:55:14.0 (7694401)|SYSTEM_MODE_ENTER|false
12:55:14.0 (7702533)|HEAP_ALLOCATE|[11]|Bytes:5
12:55:14.0 (7707820)|STATEMENT_EXECUTE|[1]
12:55:14.0 (7713925)|HEAP_ALLOCATE|[11]|Bytes:5
12:55:14.0 (7717626)|STATEMENT_EXECUTE|[2]
12:55:14.0 (7719642)|STATEMENT_EXECUTE|[3]
12:55:14.0 (7721204)|STATEMENT_EXECUTE|[5]
12:55:14.0 (7722760)|STATEMENT_EXECUTE|[6]
12:55:14.0 (7724318)|STATEMENT_EXECUTE|[8]
12:55:14.0 (7733898)|HEAP_ALLOCATE|[11]|Bytes:6
12:55:14.0 (7771675)|STATEMENT_EXECUTE|[10]
12:55:14.0 (7773875)|STATEMENT_EXECUTE|[11]
12:55:14.0 (7875633)|HEAP_ALLOCATE|[11]|Bytes:65
12:55:14.0 (7921243)|HEAP_ALLOCATE|[11]|Bytes:26
12:55:14.0 (7942701)|HEAP_ALLOCATE|[11]|Bytes:8
12:55:14.0 (7964529)|VARIABLE_SCOPE_BEGIN|[11]|inquyryId|String|false|false
12:55:14.0 (7979454)|VARIABLE_ASSIGNMENT|[11]|inquyryId|"a0I6F00000jCDtNUAW"
12:55:14.0 (7984490)|STATEMENT_EXECUTE|[12]
12:55:14.0 (8009772)|HEAP_ALLOCATE|[12]|Bytes:4
12:55:14.0 (8118314)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:55:14.0 (8134984)|VARIABLE_ASSIGNMENT|[12]|this.questions|[]|0x45115969
12:55:14.0 (8194482)|STATEMENT_EXECUTE|[14]
12:55:14.0 (8199748)|HEAP_ALLOCATE|[15]|Bytes:380
12:55:14.0 (8214818)|HEAP_ALLOCATE|[15]|Bytes:4
12:55:14.0 (8223646)|HEAP_ALLOCATE|[15]|Bytes:7
12:55:14.0 (10156455)|SOQL_EXECUTE_BEGIN|[15]|Aggregations:1|SELECT ReportName__c, (SELECT QuestionLabel__c, AnswerType__c, NumberPossibleReplies__c, Reply01Label__c, Reply02Label__c, Reply03Label__c, Reply04Label__c, Reply05Label__c, Reply06Label__c, Reply07Label__c, Reply08Label__c, Reply09Label__c, Reply10Label__c FROM saInquiryDetail_md__r ORDER BY SortNo__c ASC NULLS FIRST, Name ASC NULLS FIRST) FROM saInquiry__c 
12:55:14.0 (26553053)|SOQL_EXECUTE_END|[15]|Rows:1
12:55:14.0 (26584174)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:55:14.0 (26810986)|HEAP_ALLOCATE|[15]|Bytes:54
12:55:14.0 (26824541)|HEAP_ALLOCATE|[15]|Bytes:8
12:55:14.0 (26841867)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
12:55:14.0 (26848077)|STATEMENT_EXECUTE|[7]
12:55:14.0 (26863789)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
12:55:14.0 (26874653)|HEAP_ALLOCATE|[15]|Bytes:28
