41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:52:08.0 (72806)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi|日本標準時|GMT+09:00
18:52:08.0 (108979)|EXECUTION_STARTED
18:52:08.0 (113554)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqT|VF: /apex/kdKnowledgeHomePage
18:52:08.0 (20832648)|METHOD_ENTRY|[1]|01p6F0000084OtI|auMainTopCompCtrl.auMainTopCompCtrl()
18:52:08.0 (21169690)|METHOD_EXIT|[1]|auMainTopCompCtrl
18:52:08.0 (22668380)|METHOD_ENTRY|[52]||System.UserInfo.getUserId()
18:52:08.0 (22744225)|METHOD_EXIT|[52]||System.UserInfo.getUserId()
18:52:08.0 (24440563)|SOQL_EXECUTE_BEGIN|[47]|Aggregations:0|SELECT SmallPhotoUrl, Account.Name, Account.RegionalOfficeId__r.RegionalOfficeName__c, Account.BranchId__r.BranchName__c, Name, Department, UserRole.Name FROM User WHERE User.ID = :tmpVar1
18:52:08.0 (30251469)|SOQL_EXECUTE_END|[47]|Rows:1
18:52:08.0 (34464521)|METHOD_ENTRY|[52]||System.UserInfo.getUserId()
18:52:08.0 (34483225)|METHOD_EXIT|[52]||System.UserInfo.getUserId()
18:52:08.0 (34879166)|SOQL_EXECUTE_BEGIN|[47]|Aggregations:0|SELECT SmallPhotoUrl, Account.Name, Account.RegionalOfficeId__r.RegionalOfficeName__c, Account.BranchId__r.BranchName__c, Name, Department, UserRole.Name FROM User WHERE User.ID = :tmpVar1
18:52:08.0 (40302816)|SOQL_EXECUTE_END|[47]|Rows:1
18:52:08.0 (45340322)|METHOD_ENTRY|[1]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.kdKnowledgeHomePageCtrl()
18:52:08.0 (45406763)|METHOD_EXIT|[1]|kdKnowledgeHomePageCtrl
18:52:08.0 (47338667)|SOQL_EXECUTE_BEGIN|[164]|Aggregations:1|SELECT Type__c, SubjectDivision__c, Thema__c, MediumCategory__c, NbCopy__c, NbLike__c, NbView__c, HasMovie__c, Title__c, PostTime__c, (SELECT Id FROM Attachments LIMIT 1) FROM kdKnowledge__c ORDER BY Thema__c ASC NULLS FIRST, LastModifiedDate__c DESC NULLS FIRST
18:52:08.0 (450828212)|SOQL_EXECUTE_END|[164]|Rows:5027
18:52:09.0 (1802382447)|METHOD_ENTRY|[203]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getWebContentData()
18:52:09.0 (1803231993)|SOQL_EXECUTE_BEGIN|[22]|Aggregations:0|SELECT Title__c, NbView1Week__c, Thema__c FROM kdKnowledge__c 
18:52:09.0 (1816688817)|SOQL_EXECUTE_END|[22]|Rows:3
18:52:09.0 (1817322952)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1817376609)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1817385693)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.next()
18:52:09.0 (1817451255)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.next()
18:52:09.0 (1817537403)|CONSTRUCTOR_ENTRY|[23]|01p6F000006sUQf|<init>()
18:52:09.0 (1817631621)|CONSTRUCTOR_EXIT|[23]|01p6F000006sUQf|<init>()
18:52:09.0 (1818194381)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1818217033)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1818222819)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.next()
18:52:09.0 (1818269922)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.next()
18:52:09.0 (1818313996)|CONSTRUCTOR_ENTRY|[23]|01p6F000006sUQf|<init>()
18:52:09.0 (1818361667)|CONSTRUCTOR_EXIT|[23]|01p6F000006sUQf|<init>()
18:52:09.0 (1818651050)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1818670066)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1818675403)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.next()
18:52:09.0 (1818719397)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.next()
18:52:09.0 (1818760040)|CONSTRUCTOR_ENTRY|[23]|01p6F000006sUQf|<init>()
18:52:09.0 (1818805458)|CONSTRUCTOR_EXIT|[23]|01p6F000006sUQf|<init>()
18:52:09.0 (1819098999)|METHOD_ENTRY|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1819111966)|METHOD_EXIT|[22]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1819443614)|SOQL_EXECUTE_BEGIN|[31]|Aggregations:0|SELECT Title__c, Thema__c FROM kdKnowledge__c 
18:52:09.0 (1827734764)|SOQL_EXECUTE_END|[31]|Rows:3
18:52:09.0 (1828264748)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1828298979)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1828307271)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.next()
18:52:09.0 (1828360174)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.next()
18:52:09.0 (1828412170)|CONSTRUCTOR_ENTRY|[32]|01p6F000006sUQf|<init>()
18:52:09.0 (1828480961)|CONSTRUCTOR_EXIT|[32]|01p6F000006sUQf|<init>()
18:52:09.0 (1828885915)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1828907475)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1828913332)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.next()
18:52:09.0 (1828966820)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.next()
18:52:09.0 (1829009535)|CONSTRUCTOR_ENTRY|[32]|01p6F000006sUQf|<init>()
18:52:09.0 (1829057227)|CONSTRUCTOR_EXIT|[32]|01p6F000006sUQf|<init>()
18:52:09.0 (1829348763)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1829367999)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1829373576)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.next()
18:52:09.0 (1829416725)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.next()
18:52:09.0 (1829455459)|CONSTRUCTOR_ENTRY|[32]|01p6F000006sUQf|<init>()
18:52:09.0 (1829500301)|CONSTRUCTOR_EXIT|[32]|01p6F000006sUQf|<init>()
18:52:09.0 (1829780697)|METHOD_ENTRY|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1829793358)|METHOD_EXIT|[31]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1830119363)|SOQL_EXECUTE_BEGIN|[40]|Aggregations:0|SELECT Title__c, Thema__c FROM kdKnowledge__c 
18:52:09.0 (1836267496)|SOQL_EXECUTE_END|[40]|Rows:3
18:52:09.0 (1836639995)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1836666581)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1836673392)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.next()
18:52:09.0 (1836723587)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.next()
18:52:09.0 (1836770597)|CONSTRUCTOR_ENTRY|[41]|01p6F000006sUQf|<init>()
18:52:09.0 (1836834813)|CONSTRUCTOR_EXIT|[41]|01p6F000006sUQf|<init>()
18:52:09.0 (1837243232)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1837264726)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1837270402)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.next()
18:52:09.0 (1837315786)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.next()
18:52:09.0 (1837356979)|CONSTRUCTOR_ENTRY|[41]|01p6F000006sUQf|<init>()
18:52:09.0 (1837403887)|CONSTRUCTOR_EXIT|[41]|01p6F000006sUQf|<init>()
18:52:09.0 (1837686644)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1837705530)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1837710832)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.next()
18:52:09.0 (1837753934)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.next()
18:52:09.0 (1837793190)|CONSTRUCTOR_ENTRY|[41]|01p6F000006sUQf|<init>()
18:52:09.0 (1837838362)|CONSTRUCTOR_EXIT|[41]|01p6F000006sUQf|<init>()
18:52:09.0 (1838129180)|METHOD_ENTRY|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1838141675)|METHOD_EXIT|[40]||Database.QueryLocatorIterator.hasNext()
18:52:09.0 (1838167452)|METHOD_EXIT|[203]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getWebContentData()
18:52:09.0 (1838183461)|METHOD_ENTRY|[205]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getListThema()
18:52:09.0 (1838788626)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1838896369)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1839442189)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1839490868)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1839839914)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1839894980)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1840229966)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1840275273)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1840601350)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1840645947)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1840975033)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1841020972)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1841339228)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1841383627)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1841714489)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1841759042)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1842089482)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1842133621)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1842453855)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1842501947)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1842817954)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1842867081)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1843189031)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1843233077)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1843550082)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1843593793)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1843916260)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1843964531)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1844283813)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1844326920)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1844645331)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1844692817)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1845021861)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1845065803)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1845382187)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1845425317)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1845746160)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1845789386)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1846138029)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1846181715)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1846503017)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1846546759)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1846868507)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1846913099)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1847231916)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1847276449)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1847592867)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1847636310)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1847964720)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1848010049)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1848326211)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1848369749)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1848680506)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1848723603)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1849062441)|CONSTRUCTOR_ENTRY|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1849106635)|CONSTRUCTOR_EXIT|[54]|01p6F000006sUQf|<init>()
18:52:09.0 (1849635176)|METHOD_EXIT|[205]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getListThema()
18:52:09.0 (1849741161)|METHOD_ENTRY|[206]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getListType()
18:52:09.0 (1850373314)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1850437340)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1850962033)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1851011386)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1851413273)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1851459146)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1851825423)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1851893566)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1852224068)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1852269310)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1852588126)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1852632280)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1853000203)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1853044841)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1853400997)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1853445419)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1853798447)|CONSTRUCTOR_ENTRY|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1853847524)|CONSTRUCTOR_EXIT|[72]|01p6F000006sUQf|<init>()
18:52:09.0 (1854306826)|METHOD_EXIT|[206]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getListType()
18:52:09.0 (1854408506)|METHOD_ENTRY|[207]|01p6F000006sUQf|kdKnowledgeHomePageCtrl.getListChannel()
18:52:09.0 (1854988583)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1855052684)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1855492348)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1855540418)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1856279777)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1856326216)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1856656397)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1856702681)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1857039815)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1857102094)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1857461668)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1857506286)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1857843024)|CONSTRUCTOR_ENTRY|[90]|01p6F000006sUQf|<init>()
18:52:09.0 (1857894427)|CONSTRUCTOR_EXIT|[90]|01p6F000006sUQf|<init>()
